Date,Day_of_Week,Is_Weekend,Season,Weather_Type,Special_Occasion,Holiday,Total_Customers,LPG_Usage_kg,Dosa_Sold,Idly_Sold,Vada_Sold,Puri_Sold
2020-03-19,Thursday,0,Summer,Sunny,No Occasion,0,307,6.79,102,78,48,79
2020-03-20,Friday,0,Summer,Cloudy,No Occasion,1,477,11.95,114,120,54,189
2020-03-21,Saturday,1,Summer,Sunny,No Occasion,0,497,13.02,166,129,124,78
2020-03-22,Sunday,1,Summer,Sunny,No Occasion,0,412,9.04,116,136,101,59
2020-03-23,Monday,0,Summer,Sunny,No Occasion,0,328,7.78,71,109,110,38
2020-03-24,Tuesday,0,Summer,Sunny,No Occasion,0,383,10.3,91,131,110,51
2020-03-25,Wednesday,0,Summer,Sunny,No Occasion,0,331,9.09,67,131,98,35
2020-03-26,Thursday,0,Summer,Cloudy,Festival,1,424,8.83,77,143,88,116
2020-03-27,Friday,0,Summer,Rainy,No Occasion,0,255,5.38,58,137,54,6
2020-03-28,Saturday,1,Summer,Sunny,No Occasion,0,409,10.41,110,101,98,100
2020-03-29,Sunday,1,Summer,Cloudy,No Occasion,0,365,8.81,134,107,82,42
2020-03-30,Monday,0,Summer,Cloudy,No Occasion,0,394,11.03,132,112,70,80
2020-03-31,Tuesday,0,Summer,Sunny,No Occasion,0,350,9.53,105,121,76,48
2020-04-01,Wednesday,0,Summer,Cloudy,No Occasion,0,322,9.1,48,128,52,94
2020-04-02,Thursday,0,Summer,Sunny,No Occasion,0,374,9.34,126,69,99,80
2020-04-03,Friday,0,Summer,Sunny,No Occasion,0,355,8.16,167,60,45,83
2020-04-04,Saturday,1,Summer,Rainy,No Occasion,0,258,5.5,61,112,72,13
2020-04-05,Sunday,1,Summer,Sunny,Local Event,0,472,9.6,137,125,139,71
2020-04-06,Monday,0,Summer,Sunny,Festival,1,541,11.64,143,96,113,189
2020-04-07,Tuesday,0,Summer,Sunny,No Occasion,0,244,6.95,55,92,54,43
2020-04-08,Wednesday,0,Summer,Cloudy,No Occasion,0,348,8.91,130,93,72,53
2020-04-09,Thursday,0,Summer,Cloudy,No Occasion,0,292,7.53,70,151,43,28
2020-04-10,Friday,0,Summer,Cloudy,No Occasion,0,270,7.38,113,66,73,18
2020-04-11,Saturday,1,Summer,Cloudy,No Occasion,0,485,10.61,142,151,127,65
2020-04-12,Sunday,1,Summer,Cloudy,Festival,1,692,18.35,226,152,102,212
2020-04-13,Monday,0,Summer,Cloudy,No Occasion,0,372,8.48,110,120,97,45
2020-04-14,Tuesday,0,Summer,Cloudy,No Occasion,0,269,6.4,79,55,82,53
2020-04-15,Wednesday,0,Summer,Sunny,No Occasion,0,285,6.04,82,123,51,29
2020-04-16,Thursday,0,Summer,Sunny,No Occasion,0,393,10.11,94,135,114,50
2020-04-17,Friday,0,Summer,Cloudy,No Occasion,0,340,8.97,92,100,67,81
2020-04-18,Saturday,1,Summer,Cloudy,No Occasion,0,432,10.69,101,154,93,84
2020-04-19,Sunday,1,Summer,Sunny,No Occasion,0,445,11.16,121,89,99,136
2020-04-20,Monday,0,Summer,Cloudy,No Occasion,0,370,9.86,73,132,75,90
2020-04-21,Tuesday,0,Summer,Cloudy,No Occasion,0,298,6.47,63,127,76,32
2020-04-22,Wednesday,0,Summer,Cloudy,No Occasion,0,292,8.17,74,161,49,8
2020-04-23,Thursday,0,Summer,Cloudy,Festival,0,475,11.14,132,75,177,91
2020-04-24,Friday,0,Summer,Sunny,No Occasion,0,349,7.71,97,123,75,54
2020-04-25,Saturday,1,Summer,Rainy,No Occasion,0,304,6.54,116,140,40,8
2020-04-26,Sunday,1,Summer,Sunny,Local Event,0,502,12.78,133,171,121,77
2020-04-27,Monday,0,Summer,Sunny,No Occasion,0,390,10.57,88,130,95,77
2020-04-28,Tuesday,0,Summer,Rainy,No Occasion,0,279,6.42,71,148,44,16
2020-04-29,Wednesday,0,Summer,Sunny,No Occasion,0,390,7.92,137,85,96,72
2020-04-30,Thursday,0,Summer,Rainy,No Occasion,0,294,7.74,91,121,70,12
2020-05-01,Friday,0,Summer,Sunny,No Occasion,0,407,10.71,125,131,67,84
2020-05-02,Saturday,1,Summer,Sunny,No Occasion,1,512,13.23,160,138,125,89
2020-05-03,Sunday,1,Summer,Cloudy,No Occasion,0,349,8.04,135,82,70,62
2020-05-04,Monday,0,Summer,Sunny,No Occasion,0,285,5.88,135,53,47,50
2020-05-05,Tuesday,0,Summer,Cloudy,No Occasion,0,341,7.22,74,117,78,72
2020-05-06,Wednesday,0,Summer,Sunny,No Occasion,0,343,8.49,113,131,56,43
2020-05-07,Thursday,0,Summer,Sunny,No Occasion,0,329,7.03,119,89,51,70
2020-05-08,Friday,0,Summer,Cloudy,No Occasion,0,249,5.82,94,76,52,27
2020-05-09,Saturday,1,Summer,Sunny,No Occasion,0,462,12.97,194,127,94,47
2020-05-10,Sunday,1,Summer,Sunny,No Occasion,1,523,10.76,134,185,147,57
2020-05-11,Monday,0,Summer,Rainy,Local Event,0,257,6.77,90,113,40,14
2020-05-12,Tuesday,0,Summer,Sunny,No Occasion,0,293,8.64,86,89,70,48
2020-05-13,Wednesday,0,Summer,Rainy,No Occasion,0,266,7.01,62,82,85,37
2020-05-14,Thursday,0,Summer,Sunny,No Occasion,0,312,7.73,78,95,70,69
2020-05-15,Friday,0,Summer,Cloudy,No Occasion,0,289,7.27,85,93,58,53
2020-05-16,Saturday,1,Summer,Cloudy,No Occasion,0,518,15.41,121,224,111,62
2020-05-17,Sunday,1,Summer,Sunny,Festival,1,657,16.27,148,144,153,212
2020-05-18,Monday,0,Summer,Sunny,No Occasion,0,312,8.65,83,124,73,32
2020-05-19,Tuesday,0,Summer,Sunny,Festival,1,627,12.87,171,82,178,196
2020-05-20,Wednesday,0,Summer,Sunny,No Occasion,0,361,9.94,110,118,85,48
2020-05-21,Thursday,0,Summer,Sunny,No Occasion,0,247,5.24,42,88,52,65
2020-05-22,Friday,0,Summer,Sunny,Festival,1,616,18.3,125,122,167,202
2020-05-23,Saturday,1,Summer,Sunny,No Occasion,0,427,12.23,171,124,81,51
2020-05-24,Sunday,1,Summer,Sunny,No Occasion,0,491,11.55,158,151,68,114
2020-05-25,Monday,0,Summer,Cloudy,No Occasion,0,334,9.29,73,143,60,58
2020-05-26,Tuesday,0,Summer,Cloudy,No Occasion,0,257,5.83,56,69,55,77
2020-05-27,Wednesday,0,Summer,Sunny,No Occasion,0,269,5.39,66,64,43,96
2020-05-28,Thursday,0,Summer,Sunny,No Occasion,0,295,6.46,92,114,58,31
2020-05-29,Friday,0,Summer,Cloudy,Local Event,1,519,14.09,115,149,103,152
2020-05-30,Saturday,1,Summer,Sunny,No Occasion,0,377,10.34,106,108,68,95
2020-05-31,Sunday,1,Summer,Cloudy,No Occasion,0,426,11.86,120,129,82,95
2020-06-01,Monday,0,Monsoon,Heavy Rain,No Occasion,0,186,5.34,51,56,41,38
2020-06-02,Tuesday,0,Monsoon,Cloudy,No Occasion,0,287,5.78,80,120,52,35
2020-06-03,Wednesday,0,Monsoon,Rainy,No Occasion,0,280,5.93,80,109,77,14
2020-06-04,Thursday,0,Monsoon,Rainy,No Occasion,0,266,6.77,99,82,60,25
2020-06-05,Friday,0,Monsoon,Heavy Rain,No Occasion,0,171,3.8,68,63,33,7
2020-06-06,Saturday,1,Monsoon,Cloudy,Festival,1,682,15.06,201,54,208,219
2020-06-07,Sunday,1,Monsoon,Rainy,No Occasion,0,409,9.69,155,138,77,39
2020-06-08,Monday,0,Monsoon,Heavy Rain,No Occasion,0,267,7.0,95,93,50,29
2020-06-09,Tuesday,0,Monsoon,Cloudy,No Occasion,0,293,8.52,85,100,67,41
2020-06-10,Wednesday,0,Monsoon,Heavy Rain,No Occasion,1,151,4.26,37,30,32,52
2020-06-11,Thursday,0,Monsoon,Heavy Rain,Local Event,0,162,4.45,50,47,31,34
2020-06-12,Friday,0,Monsoon,Cloudy,No Occasion,0,269,5.42,115,90,25,39
2020-06-13,Saturday,1,Monsoon,Cloudy,No Occasion,0,449,9.93,119,99,127,104
2020-06-14,Sunday,1,Monsoon,Sunny,Local Event,0,458,12.07,156,153,95,54
2020-06-15,Monday,0,Monsoon,Heavy Rain,No Occasion,0,212,5.5,76,86,45,5
2020-06-16,Tuesday,0,Monsoon,Rainy,No Occasion,0,315,8.26,128,97,34,56
2020-06-17,Wednesday,0,Monsoon,Sunny,No Occasion,0,343,9.6,118,88,70,67
2020-06-18,Thursday,0,Monsoon,Rainy,No Occasion,0,213,5.29,74,64,43,32
2020-06-19,Friday,0,Monsoon,Rainy,No Occasion,0,147,4.4,37,53,42,15
2020-06-20,Saturday,1,Monsoon,Cloudy,No Occasion,0,353,10.25,105,65,131,52
2020-06-21,Sunday,1,Monsoon,Sunny,Festival,1,695,20.64,134,166,138,257
2020-06-22,Monday,0,Monsoon,Heavy Rain,No Occasion,0,206,4.63,48,73,56,29
2020-06-23,Tuesday,0,Monsoon,Rainy,No Occasion,0,264,6.9,102,127,19,16
2020-06-24,Wednesday,0,Monsoon,Cloudy,No Occasion,0,234,5.97,69,84,38,43
2020-06-25,Thursday,0,Monsoon,Rainy,Festival,1,402,11.05,96,135,88,83
2020-06-26,Friday,0,Monsoon,Rainy,No Occasion,0,327,8.03,74,92,105,56
2020-06-27,Saturday,1,Monsoon,Cloudy,No Occasion,0,423,8.71,141,122,123,37
2020-06-28,Sunday,1,Monsoon,Sunny,No Occasion,0,402,8.78,147,109,108,38
2020-06-29,Monday,0,Monsoon,Rainy,No Occasion,0,297,8.53,98,100,41,58
2020-06-30,Tuesday,0,Monsoon,Heavy Rain,No Occasion,0,241,6.1,62,87,28,64
2020-07-01,Wednesday,0,Monsoon,Rainy,No Occasion,0,305,8.6,104,106,59,36
2020-07-02,Thursday,0,Monsoon,Heavy Rain,No Occasion,0,140,3.89,31,59,27,23
2020-07-03,Friday,0,Monsoon,Rainy,No Occasion,1,245,5.09,83,45,56,61
2020-07-04,Saturday,1,Monsoon,Rainy,No Occasion,0,309,6.74,81,143,63,22
2020-07-05,Sunday,1,Monsoon,Rainy,Festival,1,482,14.05,75,126,122,159
2020-07-06,Monday,0,Monsoon,Rainy,Festival,1,441,11.55,94,133,69,145
2020-07-07,Tuesday,0,Monsoon,Heavy Rain,No Occasion,0,190,3.96,67,51,41,31
2020-07-08,Wednesday,0,Monsoon,Rainy,No Occasion,1,210,6.0,76,63,28,43
2020-07-09,Thursday,0,Monsoon,Cloudy,Local Event,0,267,5.78,107,53,59,48
2020-07-10,Friday,0,Monsoon,Rainy,No Occasion,0,191,4.39,80,77,30,4
2020-07-11,Saturday,1,Monsoon,Sunny,No Occasion,0,387,8.21,143,122,105,17
2020-07-12,Sunday,1,Monsoon,Rainy,No Occasion,0,396,8.59,123,138,111,24
2020-07-13,Monday,0,Monsoon,Rainy,No Occasion,0,330,9.3,109,113,20,88
2020-07-14,Tuesday,0,Monsoon,Rainy,Festival,0,356,9.85,79,108,58,111
2020-07-15,Wednesday,0,Monsoon,Rainy,No Occasion,0,212,5.11,51,62,55,44
2020-07-16,Thursday,0,Monsoon,Rainy,No Occasion,0,230,5.98,46,137,18,29
2020-07-17,Friday,0,Monsoon,Rainy,Festival,1,409,11.16,94,99,79,137
2020-07-18,Saturday,1,Monsoon,Rainy,No Occasion,0,376,8.48,142,150,74,10
2020-07-19,Sunday,1,Monsoon,Rainy,No Occasion,0,349,8.6,114,155,52,28
2020-07-20,Monday,0,Monsoon,Rainy,No Occasion,0,215,6.44,73,80,55,7
2020-07-21,Tuesday,0,Monsoon,Rainy,No Occasion,0,330,9.31,72,128,93,37
2020-07-22,Wednesday,0,Monsoon,Rainy,No Occasion,0,258,7.31,59,103,50,46
2020-07-23,Thursday,0,Monsoon,Rainy,Local Event,0,169,5.07,52,67,27,23
2020-07-24,Friday,0,Monsoon,Heavy Rain,No Occasion,0,180,4.07,51,104,23,2
2020-07-25,Saturday,1,Monsoon,Heavy Rain,No Occasion,0,204,5.87,67,82,51,4
2020-07-26,Sunday,1,Monsoon,Heavy Rain,Festival,1,355,8.54,99,79,92,85
2020-07-27,Monday,0,Monsoon,Heavy Rain,No Occasion,0,88,2.15,30,43,12,3
2020-07-28,Tuesday,0,Monsoon,Rainy,Festival,1,417,10.6,41,81,123,172
2020-07-29,Wednesday,0,Monsoon,Rainy,No Occasion,1,264,7.45,54,116,45,49
2020-07-30,Thursday,0,Monsoon,Sunny,No Occasion,0,240,6.13,62,67,60,51
2020-07-31,Friday,0,Monsoon,Rainy,No Occasion,0,224,5.8,80,63,61,20
2020-08-01,Saturday,1,Monsoon,Rainy,No Occasion,0,430,11.75,134,162,88,46
2020-08-02,Sunday,1,Monsoon,Rainy,No Occasion,0,393,11.32,141,161,30,61
2020-08-03,Monday,0,Monsoon,Sunny,Local Event,1,432,12.21,125,118,92,97
2020-08-04,Tuesday,0,Monsoon,Rainy,No Occasion,0,330,7.65,109,132,81,8
2020-08-05,Wednesday,0,Monsoon,Rainy,Festival,1,193,4.18,34,53,45,61
2020-08-06,Thursday,0,Monsoon,Rainy,No Occasion,0,272,6.28,73,90,63,46
2020-08-07,Friday,0,Monsoon,Rainy,No Occasion,0,348,9.95,131,70,87,60
2020-08-08,Saturday,1,Monsoon,Heavy Rain,No Occasion,1,232,5.37,127,57,20,28
2020-08-09,Sunday,1,Monsoon,Cloudy,No Occasion,1,604,15.02,202,146,149,107
2020-08-10,Monday,0,Monsoon,Rainy,No Occasion,0,299,8.56,82,98,78,41
2020-08-11,Tuesday,0,Monsoon,Rainy,Local Event,1,285,6.25,60,94,62,69
2020-08-12,Wednesday,0,Monsoon,Cloudy,No Occasion,0,314,7.56,104,50,101,59
2020-08-13,Thursday,0,Monsoon,Sunny,No Occasion,0,275,5.96,58,72,62,83
2020-08-14,Friday,0,Monsoon,Heavy Rain,No Occasion,1,172,3.52,31,93,43,5
2020-08-15,Saturday,1,Monsoon,Sunny,No Occasion,0,502,13.58,134,138,79,151
2020-08-16,Sunday,1,Monsoon,Rainy,No Occasion,0,319,7.85,116,116,68,19
2020-08-17,Monday,0,Monsoon,Sunny,No Occasion,0,229,4.74,85,32,41,71
2020-08-18,Tuesday,0,Monsoon,Sunny,Local Event,1,494,9.98,135,106,39,214
2020-08-19,Wednesday,0,Monsoon,Cloudy,No Occasion,0,364,8.65,83,112,105,64
2020-08-20,Thursday,0,Monsoon,Rainy,No Occasion,0,194,5.31,38,84,41,31
2020-08-21,Friday,0,Monsoon,Cloudy,Festival,1,550,12.84,110,113,136,191
2020-08-22,Saturday,1,Monsoon,Rainy,No Occasion,0,357,8.82,150,115,49,43
2020-08-23,Sunday,1,Monsoon,Heavy Rain,No Occasion,0,193,4.45,69,62,35,27
2020-08-24,Monday,0,Monsoon,Sunny,No Occasion,0,364,9.45,97,113,103,51
2020-08-25,Tuesday,0,Monsoon,Sunny,No Occasion,0,251,6.41,94,75,47,35
2020-08-26,Wednesday,0,Monsoon,Rainy,No Occasion,0,326,7.68,92,111,72,51
2020-08-27,Thursday,0,Monsoon,Cloudy,No Occasion,0,310,9.18,112,71,68,59
2020-08-28,Friday,0,Monsoon,Heavy Rain,No Occasion,0,177,4.12,39,55,62,21
2020-08-29,Saturday,1,Monsoon,Cloudy,No Occasion,0,399,9.27,128,98,97,76
2020-08-30,Sunday,1,Monsoon,Heavy Rain,Festival,1,374,7.57,89,109,86,90
2020-08-31,Monday,0,Monsoon,Rainy,No Occasion,0,339,8.48,111,97,112,19
2020-09-01,Tuesday,0,Monsoon,Rainy,No Occasion,0,180,5.11,64,65,38,13
2020-09-02,Wednesday,0,Monsoon,Rainy,No Occasion,0,230,6.02,106,90,28,6
2020-09-03,Thursday,0,Monsoon,Sunny,No Occasion,0,230,5.39,66,34,77,53
2020-09-04,Friday,0,Monsoon,Sunny,No Occasion,0,321,8.99,91,96,88,46
2020-09-05,Saturday,1,Monsoon,Rainy,No Occasion,0,351,7.75,140,105,79,27
2020-09-06,Sunday,1,Monsoon,Rainy,No Occasion,0,419,8.8,134,199,34,52
2020-09-07,Monday,0,Monsoon,Rainy,No Occasion,0,281,6.44,68,122,56,35
2020-09-08,Tuesday,0,Monsoon,Sunny,No Occasion,0,238,4.78,96,52,48,42
2020-09-09,Wednesday,0,Monsoon,Cloudy,No Occasion,0,358,8.88,122,108,54,74
2020-09-10,Thursday,0,Monsoon,Rainy,No Occasion,0,323,8.77,123,137,53,10
2020-09-11,Friday,0,Monsoon,Sunny,No Occasion,1,547,11.05,155,129,114,149
2020-09-12,Saturday,1,Monsoon,Rainy,No Occasion,0,320,8.15,78,118,53,71
2020-09-13,Sunday,1,Monsoon,Sunny,No Occasion,0,420,9.49,170,120,92,38
2020-09-14,Monday,0,Monsoon,Rainy,No Occasion,0,145,3.24,39,64,24,18
2020-09-15,Tuesday,0,Monsoon,Sunny,No Occasion,0,285,7.34,54,70,88,73
2020-09-16,Wednesday,0,Monsoon,Rainy,Festival,1,328,9.4,76,110,74,68
2020-09-17,Thursday,0,Monsoon,Rainy,Local Event,0,80,1.99,18,39,14,9
2020-09-18,Friday,0,Monsoon,Rainy,No Occasion,0,267,7.97,57,105,74,31
2020-09-19,Saturday,1,Monsoon,Rainy,No Occasion,0,201,4.76,75,61,30,35
2020-09-20,Sunday,1,Monsoon,Rainy,Local Event,0,314,6.31,117,98,89,10
2020-09-21,Monday,0,Monsoon,Rainy,No Occasion,0,215,5.55,31,77,72,35
2020-09-22,Tuesday,0,Monsoon,Sunny,No Occasion,0,364,10.22,82,121,122,39
2020-09-23,Wednesday,0,Monsoon,Cloudy,No Occasion,0,389,8.64,130,120,55,84
2020-09-24,Thursday,0,Monsoon,Rainy,No Occasion,0,165,3.52,37,69,27,32
2020-09-25,Friday,0,Monsoon,Rainy,Festival,0,379,10.16,55,130,81,113
2020-09-26,Saturday,1,Monsoon,Sunny,No Occasion,0,455,12.02,148,131,110,66
2020-09-27,Sunday,1,Monsoon,Rainy,No Occasion,0,328,9.48,92,135,91,10
2020-09-28,Monday,0,Monsoon,Rainy,No Occasion,0,289,7.48,114,69,55,51
2020-09-29,Tuesday,0,Monsoon,Cloudy,No Occasion,0,261,6.94,78,82,46,55
2020-09-30,Wednesday,0,Monsoon,Cloudy,No Occasion,0,306,8.44,137,61,58,50
2020-10-01,Thursday,0,Autumn,Cloudy,Festival,1,513,14.91,166,39,106,202
2020-10-02,Friday,0,Autumn,Sunny,Local Event,0,240,6.34,65,98,44,33
2020-10-03,Saturday,1,Autumn,Sunny,No Occasion,0,412,8.68,89,131,105,87
2020-10-04,Sunday,1,Autumn,Cloudy,Festival,1,622,12.61,196,73,154,199
2020-10-05,Monday,0,Autumn,Sunny,No Occasion,0,291,8.66,119,61,59,52
2020-10-06,Tuesday,0,Autumn,Rainy,No Occasion,0,210,4.5,62,89,47,12
2020-10-07,Wednesday,0,Autumn,Cloudy,No Occasion,0,381,10.65,108,156,62,55
2020-10-08,Thursday,0,Autumn,Cloudy,Festival,1,544,10.99,94,88,118,244
2020-10-09,Friday,0,Autumn,Cloudy,No Occasion,0,332,7.83,119,116,66,31
2020-10-10,Saturday,1,Autumn,Rainy,No Occasion,0,464,11.75,123,150,114,77
2020-10-11,Sunday,1,Autumn,Cloudy,No Occasion,0,469,11.06,183,104,104,78
2020-10-12,Monday,0,Autumn,Cloudy,No Occasion,0,302,6.89,131,59,79,33
2020-10-13,Tuesday,0,Autumn,Sunny,No Occasion,1,448,12.59,112,118,103,115
2020-10-14,Wednesday,0,Autumn,Sunny,Local Event,0,287,5.87,118,64,35,70
2020-10-15,Thursday,0,Autumn,Sunny,No Occasion,0,281,6.06,117,76,54,34
2020-10-16,Friday,0,Autumn,Rainy,No Occasion,0,97,2.35,42,38,1,16
2020-10-17,Saturday,1,Autumn,Rainy,Festival,1,438,9.46,114,51,160,113
2020-10-18,Sunday,1,Autumn,Cloudy,No Occasion,0,397,10.14,200,76,75,46
2020-10-19,Monday,0,Autumn,Cloudy,Local Event,0,289,7.35,112,32,82,63
2020-10-20,Tuesday,0,Autumn,Cloudy,No Occasion,0,254,7.41,107,53,61,33
2020-10-21,Wednesday,0,Autumn,Cloudy,No Occasion,0,286,7.13,124,70,34,58
2020-10-22,Thursday,0,Autumn,Sunny,No Occasion,0,282,6.8,112,92,14,64
2020-10-23,Friday,0,Autumn,Rainy,No Occasion,0,232,6.32,65,84,54,29
2020-10-24,Saturday,1,Autumn,Sunny,Festival,1,632,16.19,186,59,181,206
2020-10-25,Sunday,1,Autumn,Sunny,No Occasion,0,410,10.87,158,96,118,38
2020-10-26,Monday,0,Autumn,Sunny,Local Event,1,374,10.13,119,128,32,95
